text,label
"Tilasin väärän tiedon perusteella renkaat joissa on väärä profiili, lähetintiedon asiasta alle vuorokausi tilauksesta sunnuntai iltana ja vielä uudestaanmaanantai aamuna. Yhteyden ottohin ei reagoitu mitenkään nyt on sittenväärän kokoset renkaat.Surkeaa asiakaspalvelua.",0
Ihana!👍 Haluaisin tilataa enaa.,1
"Ostaminen oli helppoa ja tiesi kyllä mitä on ostamassa. Paketin sisältö kerrottin hyvin eli mitä kaikkea ko. paketti sisältää. Maksuvaihtoehtojakin oli hyvin tarjolla. Ainoa miinus täytyy antaa tavaran pakkaamisesta, koska maali oli hankautunut/kolhiintunut kuljetuksen aikana monin paikoin pois, joutui paikkamaalaamaan ennen asennusta.",1
"Erittäin hidasta toimintaa. Postin paketit saapuivat 1-2 päivässä, tilattu pe - kaikki toimitettu su. Postnordin pakettia olen nyt odotellut reilun viikon ja se on ollut kaupungissani jo kaksi päivää ”kuljetuksessa”.",0
"Tuo valitsemanne kuljetusmuoto, eli Posti näyttää olevan antiikkia. Tilauksen tein torstaina päivällä ja teiltä se lähti perjantaina, mutta postiseurannassa se näkyi vasta perjantai-iltapäivällä noin klo 17:00. Maanantaina se näytti olevan kuljetuksessa ja tiistaina päivällä, kunnes noin klo 18:00 aikaan tuli viesti noudettavasta paketista. Vertaan tätä siihen, että pari viikoa sitten tein tilauksen Ylivieskasta sunnuntaina päivällä. Maanantaiaamuna klo 07:55 lähetys näkyi matkahuollon seurannassa, että lähetys on matkalla eteenpäin. Tiistaina noin klo 09:00 tuli viesti, että lähetys on noudettavissa tuosta lähimmästä matkahuollon toimipisteestä, eli sadan metrin päässä sijaitsevasta K-marketista. Postiin mulla on matkaa pari kilometriä, joten tuollaista kahdeksan kilon pakettia ei tällainen vanhus jaksa hakea ilman kulkuneuvoa. Joten käyttäkää myös Matkahuoltoa.",1
"Tilaamani kassi tuli kyllä perille, mutta kelloa ei ole vieläkään kuulunut. Ja kassiinkin oli painettu kuva väärinpäin. Soitin asiakaspalveluun ja sieltä luvattiin lähettää uusi kassi tilalle. Saa nähdä mitä sieltä tulee. Jos olisin lahjaksi tilannut niin olisi tullut jo kiire. Suosittelen Smartphotoa suurella varauksella kyllä kenellekään. On noita parempiakin kuvapalveluita olemassa.",0
"Päivitys seuraavalta viikolta: Paketti tuli viimein, viikko myöhemmin kuin ensimmäinen ""toimitusyritys"". Toimituksen perään kysely ei herättänyt luottamusta Lamppu Expressiin.Alkuperäinen arvostelu:PostNord ei saanut pakettia koskaan toimitettua. Kolme yritystä, kertaakaan ei näkynyt pakettia tuovaa autoa vaikka olin paikalla koko päivän joka kerta. Ei tullut soittoa myöskään.",0
Seiskan tilaus oli 5 euroa kalliimpi kuin suoraan seiskalta tilattuna,0
Kaikki toimi hyvin. Erityinen kiitos toimituksen nopeudesta.,1
Nopea toimitus ja ainakin ensikokeilulla tuotteet tuntuu juuri sellaisilta kuin kuvittelinkin!,1
"Luotettava ja nopea. Hyvä palvelu, kysymyksiin vastataan ripeästi.",1
"Tuote ok, toimitus tajuttoman hidasta paitsi lasku kyllä tuli liiankin nopeasti.",0
mitat ei pitäny paikkansa,0
